tau,w_c,v_c
  5.9199999999999997E-01,  1.0697583313289098E-01,  1.4255749039773855E-01
  5.9999999999999998E-01,  1.0821872989538918E-01,  1.4828168749645904E-01
  6.0799999999999998E-01,  1.0906274314025381E-01,  5.7906658317965043E-02
  6.1599999999999999E-01,  1.0936166327304309E-01,  3.7830689344211160E-02
  6.2400000000000000E-01,  1.0977772469787060E-01,  5.6781909531025125E-02
  6.3200000000000001E-01,  1.1015960383010147E-01,  4.4978290189330770E-02
  6.4000000000000001E-01,  1.1063505369054331E-01,  6.8835892784932837E-02
  6.4800000000000002E-01,  1.1096824821335328E-01,  2.0591972273596841E-03
  6.5600000000000003E-01,  1.1084735362602313E-01, -1.0217657533135575E-02
  6.6400000000000003E-01,  1.1079800343967368E-01, -2.8747314456032097E-02
  6.7200000000000004E-01,  1.1009886785418327E-01, -1.3079749641248195E-01
  6.8000000000000005E-01,  1.0931802776469030E-01, -3.5168390771694702E-02
  6.8799999999999994E-01,  1.0942013378990438E-01,  3.0222091476635432E-02
  6.9599999999999995E-01,  1.0953441435924705E-01,  3.8661512867510816E-03
  7.0399999999999996E-01,  1.0960103734510761E-01,  7.2032049704477122E-03
  7.1199999999999997E-01,  1.0944470977336472E-01, -5.1081024557361736E-02
  7.1999999999999997E-01,  1.0894895443621126E-01, -5.7165876034132576E-02
  7.2799999999999998E-01,  1.0863510115552492E-01, -2.3919059339969944E-02
  7.3599999999999999E-01,  1.0849637997381055E-01, -1.4898701092159992E-02
  7.4399999999999999E-01,  1.0831421669284245E-01, -3.4996985920574042E-02
  7.5200000000000000E-01,  1.0797238204666201E-01, -4.1966553079189214E-02
  7.6000000000000001E-01,  1.0773831828992508E-01, -1.7238423042001384E-02
  7.6800000000000002E-01,  1.0765433106837621E-01, -3.8533779160191059E-03
  7.7600000000000002E-01,  1.0763847579635480E-01, -1.1630644382481063E-02
  7.8400000000000003E-01,  1.0722684893478689E-01, -9.4725823408084109E-02
  7.9200000000000004E-01,  1.0643666398606760E-01, -7.2916679963819994E-02
  8.0000000000000004E-01,  1.0619009256028268E-01, -9.4400963198287662E-03
  8.0800000000000005E-01,  1.0590989011254856E-01, -6.3000460035418468E-02
  8.1599999999999995E-01,  1.0553755442676380E-01, -2.5825693242560316E-03
  8.2399999999999995E-01,  1.0600671804011651E-01,  1.1071939005325081E-01
  8.3199999999999996E-01,  1.0711014067466239E-01,  1.5346512635337253E-01
  8.3999999999999997E-01,  1.0822303167521810E-01,  1.0782468076255156E-01
  8.4799999999999998E-01,  1.0874757898336786E-01,  3.5211735817593626E-02
  8.5599999999999998E-01,  1.0907016740528244E-01,  5.4685759498260156E-02
  8.6399999999999999E-01,  1.0953936506915486E-01,  5.1129324866420599E-02
  8.7200000000000000E-01,  1.0976027746159581E-01, -2.5155129569058316E-03
  8.8000000000000000E-01,  1.0935833337503938E-01, -1.0333605359460608E-01
  8.8800000000000001E-01,  1.0824045835826210E-01, -1.5822329595272513E-01
