xi,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21,mode_22,mode_23,mode_24
  1.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
  1.0500000000000000E+00, -4.0893668048697845E-02,  2.3982651451379931E-02,  4.6026765771882572E-03,  3.9123518130707552E-02, -9.1540862671186399E-02, -1.0494416836167079E-01,  8.5768889780156541E-03, -7.5153026752152477E-02,  2.0112449023807363E-01,  1.9613192102945579E-01, -1.9034539167691527E-02,  1.1253806096532247E-01, -3.0888666852871177E-01, -2.8318476667464498E-01,  4.5760915991569527E-02, -1.5148103817267125E-01,  4.1591472798093249E-01,  3.6556472753514441E-01, -8.2471480719607637E-02,  1.9025189671194281E-01, -5.1839726505726669E-01, -4.3992038628082109E-01,  1.2717169181670465E-01, -2.2774881805598776E-01
  1.1000000000000001E+00, -8.0365976731977012E-02,  4.5740518144801338E-02,  2.4349452230518430E-03,  8.4983788965460480E-02, -1.8886600612704543E-01, -1.9583754130804734E-01,  5.6459453390285179E-02, -1.6990853716554552E-01,  4.0900087808822505E-01,  3.4713072484230267E-01, -1.2605032535830665E-01,  2.5369171434624083E-01, -6.0048289886704642E-01, -4.6415384070710625E-01,  2.2886438329890565E-01, -3.2643340082774613E-01,  7.4794856421650624E-01,  5.3729980110367015E-01, -3.3740688772147920E-01,  3.7814685359009720E-01, -8.3213716798898363E-01, -5.5570602959952309E-01,  4.3517646404155852E-01, -4.0266446267321654E-01
  1.1500000000000001E+00, -1.1833019856227740E-01,  6.5341653448684880E-02, -5.8777041039285239E-03,  1.3577174615584869E-01, -2.8764630689498921E-01, -2.7072229510427737E-01,  1.3295419253045115E-01, -2.7117941867323631E-01,  5.9296295610970318E-01,  4.3947962067290181E-01, -2.7598013482649775E-01,  3.8073007838153389E-01, -7.8547826314972935E-01, -5.0705056190299125E-01,  4.3330260027410461E-01, -4.3398168269183374E-01,  8.2298624163475598E-01,  4.5722189893380316E-01, -5.3827597561653995E-01,  4.1406843980055563E-01, -6.8838846121716990E-01, -2.9395019535578981E-01,  5.5643056738370100E-01, -3.2264696489130162E-01
  1.2000000000000002E+00, -1.5470044305930417E-01,  8.2855193761497428E-02, -1.9709692308732131E-02,  1.8970411703331133E-01, -3.8372961417008233E-01, -3.2798876630256574E-01,  2.2754357496822128E-01, -3.6685321302728185E-01,  7.2721614500598897E-01,  4.6540186641242004E-01, -4.2676116575858419E-01,  4.5944836257464122E-01, -8.0765141916850469E-01, -4.0748172322729537E-01,  5.6340929541106521E-01, -4.2014796562600332E-01,  5.9007487477719911E-01,  1.6885142352718052E-01, -5.3763052218760721E-01,  2.5485299026218267E-01, -1.4724212547141488E-01,  1.6595351962370725E-01,  3.4149017076543370E-01, -1.9306156571626858E-02
  1.2500000000000000E+00, -1.8939205323626651E-01,  9.8351826572581291E-02, -3.8435869781332614E-02,  2.4503860052464405E-01, -4.7323254336531384E-01, -3.6650993727461106E-01,  3.3010084590444932E-01, -4.4635784524329097E-01,  7.9299852626003808E-01,  4.2441001621036073E-01, -5.4255860949233714E-01,  4.6828395062912148E-01, -6.5384282652908499E-01, -1.9552487413801789E-01,  5.6035655062729584E-01, -2.7938825724097271E-01,  1.3195283924721243E-01, -1.9771068950892168E-01, -3.0955632777745468E-01, -2.7543463454552351E-02,  4.7365255508181925E-01,  5.2134493190611142E-01, -8.8941683856431419E-02,  2.9054400487235743E-01
  1.3000000000000000E+00, -2.2232198543498941E-01,  1.1190420870819304E-01, -6.1432383745146847E-02,  3.0008999235575806E-01, -5.5262978766522863E-01, -3.8574431229165174E-01,  4.3115702556765728E-01, -5.0119691296427005E-01,  7.8015806188788228E-01,  3.2374560096868732E-01, -5.9703183444195140E-01,  4.0086481747197533E-01, -3.5508928097215553E-01,  7.1015668241310281E-02,  4.1268354046873007E-01, -5.2864906422350907E-02, -3.7291335533823405E-01, -4.8043280564485596E-01,  5.1522749676969619E-02, -2.9046524479264241E-01,  8.0119343396074516E-01,  5.3973528760543643E-01, -4.4919396294086095E-01,  3.7826541137595465E-01
  1.3500000000000001E+00, -2.5340917162610466E-01,  1.2358733645139235E-01, -8.8077854843386982E-02,  3.5324673460215089E-01, -6.1883732734096875E-01, -3.8580518376729611E-01,  5.2219112233280929E-01, -5.2539478480508028E-01,  6.8792348994245567E-01,  1.7770219480157748E-01, -5.7584719941018558E-01,  2.6627322785254787E-01,  2.1816251424692401E-02,  3.2103904924148130E-01,  1.5586215362138964E-01,  1.8722770559053439E-01, -7.2454593446518822E-01, -5.5493505251537201E-01,  3.8197729653476797E-01, -3.9858757231754910E-01,  6.3811839445973673E-01,  2.0839657108272491E-01, -4.9529591006167811E-01,  1.7971975616503968E-01
  1.4000000000000001E+00, -2.8257486330734805E-01,  1.3347886927122984E-01, -1.1775482355949214E-01,  4.0298738382961052E-01, -6.6928625073156767E-01, -3.6749533350164920E-01,  5.9591648580324363E-01, -5.1580350172160994E-01,  5.2474832983242592E-01,  5.9531612336868349E-03, -4.7785282405297125E-01,  8.6810051384832471E-02,  3.9065698043684371E-01,  4.8831311382092601E-01, -1.4010989523381612E-01,  3.6277153923045591E-01, -7.8315002979034076E-01, -3.8817712172221214E-01,  5.2935573331789454E-01, -2.9643980637633965E-01,  8.4989065562111540E-02, -2.5795270035882545E-01, -1.9750991100412396E-01, -1.5474852727364607E-01
  1.4500000000000002E+00, -3.0974295615357633E-01,  1.4165940895231260E-01, -1.4985142722691763E-01,  4.4789651420315857E-01, -7.0198431229967639E-01, -3.3230738354411188E-01,  6.4653894775782628E-01, -4.7223771235024692E-01,  3.0721840778310378E-01, -1.6887746033028364E-01, -3.1459643441753204E-01, -1.0644485209881405E-01,  6.6637860526153070E-01,  5.2851946884910683E-01, -3.9216495643280685E-01,  4.1630611472568008E-01, -5.2599776291353251E-01, -5.2596927343209768E-02,  4.2584165301674781E-01, -3.8238491523141155E-02, -5.2037982522063531E-01, -5.5677308269548964E-01,  2.3745561990397157E-01, -3.7288148153788359E-01
  1.5000000000000000E+00, -3.3484029459631093E-01,  1.4821273597921464E-01, -1.8376326863368206E-01,  4.8667959900313140E-01, -7.1556283330892889E-01, -2.8239124367971030E-01,  6.6996593283863903E-01, -3.9741982739690040E-01,  5.8122393458900724E-02, -3.2407307745269065E-01, -1.0815849004934040E-01, -2.7954477389154936E-01,  7.8522867600296653E-01,  4.3065712254160288E-01, -5.2885713730715744E-01,  3.3045666164305082E-01, -5.6925195546958268E-02,  3.0558766545650123E-01,  1.2102186756095624E-01,  2.4020606416299925E-01, -8.0859450927318033E-01, -4.9419706847628475E-01,  5.0860853827920682E-01, -3.1025021892556548E-01
